業種別商業販売額,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commercial sales value by type of business ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
月(Monthly),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,10億円,,
,,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,billion yen,,
,,商業計,卸売業計,各種商品卸売業,繊維品卸売業,衣服・身の回り品卸売業,農畜産物・水産物卸売業,食料・飲料卸売業,建築材料卸売業,化学製品卸売業,鉱物・金属材料卸売業,機械器具卸売業,産業機械器具卸売業,自動車卸売業,電気機械器具卸売業,その他の機械器具卸売業,家具・建具・じゅう器卸売業,医薬品・化粧品卸売業,その他の卸売業,小売業計,各種商品小売業,織物・衣服・身の回り品小売業,飲食料品小売業,自動車小売業,機械器具小売業,燃料小売業,医薬品・化粧品小売業,その他小売業,無店舗小売業,参考(医薬品化粧品小売業、その他小売業の計),参考１(自動車小売業､機械器具小売業、燃料小売業、医薬品化粧品小売業、その他小売業の計),参考２(燃料小売業、医薬品化粧品小売業、その他小売業の計),,
時間軸コード,年月,Total,Wholesale,General Merchandise,Textiles,Apparel & Accessories,Livestock & Aquatic Products,Food & Beverages,Building Materials,Chemicals,Minerals & Metals,Machinery & Equipment,Industriy Machinery & Equipment,Motor Vehicles,Electorical Machinery & Equipment,Others,Furniture & House Furnishings,Medicines & Toiletries,Others,Retail,General Merchandise,Fabrics Apparel & Accessories,Food & Beverages,Motor Vehicles(*1),Machinery & Equipment(*2),Fuel(*3),Medicine & Toiletry Stores(*4),Others(*5),Nonstore retailers,Total of(*4)&(*5),Total of(*1)～(*5),Total of(*3)～(*5),Month,Year
1980000101,1980年1月,31980,25584,4697,917,951,3078,1789,1603,1124,4592,4121,***,***,***,***,406,596,1711,6396,864,739,1819,541,330,***,***,***,***,***,2975,2104,Jan,1980
1980000202,1980年2月,34564,28045,5191,1027,1063,3079,1951,1861,1233,4964,4675,***,***,***,***,462,665,1875,6518,782,665,1895,630,312,***,***,***,***,***,3177,2235,Feb,1980
1980000303,1980年3月,41888,34314,8650,1073,1151,3307,2181,2063,1358,5377,5646,***,***,***,***,564,763,2179,7574,997,798,2085,874,332,***,***,***,***,***,3693,2487,Mar,1980
1980000404,1980年4月,36849,29292,4006,1040,1177,3407,2269,1980,1342,5022,5467,***,***,***,***,585,819,2178,7557,934,760,2107,736,371,***,***,***,***,***,3756,2649,Apr,1980
1980000505,1980年5月,37109,29869,5498,985,1102,3508,2215,1904,1259,4814,5233,***,***,***,***,535,793,2022,7240,903,725,2125,701,323,***,***,***,***,***,3487,2463,May,1980
1980000606,1980年6月,36408,29281,5215,963,1032,3386,2328,1812,1195,4696,5236,***,***,***,***,541,800,2078,7126,931,740,2087,697,364,***,***,***,***,***,3367,2306,Jun,1980
1980000707,1980年7月,36902,29390,5287,915,936,3401,2570,1888,1179,4635,5222,***,***,***,***,551,742,2063,7512,1122,772,2160,774,395,***,***,***,***,***,3458,2289,Jul,1980
1980000808,1980年8月,34725,27873,4884,896,1113,3619,2494,1717,1055,4412,4549,***,***,***,***,483,729,1923,6852,891,666,2281,561,306,***,***,***,***,***,3015,2148,Aug,1980
1980000909,1980年9月,41135,34238,8587,920,1353,3941,2474,1801,1187,5301,5127,***,***,***,***,572,771,2204,6897,839,740,2147,649,312,***,***,***,***,***,3171,2210,Sep,1980
1980001010,1980年10月,36556,29285,3798,990,1333,4158,2281,1904,1222,4772,5114,***,***,***,***,578,833,2302,7270,968,824,2216,636,313,***,***,***,***,***,3263,2314,Oct,1980
1980001111,1980年11月,36950,29542,4721,889,1172,3889,2401,1875,1155,4681,5027,***,***,***,***,606,825,2302,7408,1008,859,2213,627,355,***,***,***,***,***,3328,2346,Nov,1980
1980001212,1980年12月,42844,33276,5873,1051,1362,4345,2897,1812,1167,5307,5279,***,***,***,***,628,963,2593,9568,1683,1111,2892,676,430,***,***,***,***,***,3883,2777,Dec,1980
1981000101,1981年1月,33364,26539,4743,974,995,2995,1974,1512,1060,4547,4353,***,***,***,***,462,659,2266,6826,911,753,2011,514,323,***,***,***,***,***,3151,2314,Jan,1981
1981000202,1981年2月,34265,27603,5088,962,1082,2908,2124,1576,1096,4549,4677,***,***,***,***,518,753,2271,6662,800,649,2025,604,294,***,***,***,***,***,3188,2290,Feb,1981
1981000303,1981年3月,44891,36821,10469,1111,1237,3521,2283,1739,1261,5209,5891,***,***,***,***,670,822,2609,8070,1043,824,2357,862,337,***,***,***,***,***,3845,2646,Mar,1981
1981000404,1981年4月,37170,29316,3732,1108,1286,3384,2624,1754,1260,4614,5382,***,***,***,***,661,902,2610,7854,983,809,2423,758,350,***,***,***,***,***,3639,2531,Apr,1981
1981000505,1981年5月,37132,29674,5249,921,1192,3349,2584,1640,1233,4561,5127,***,***,***,***,556,905,2356,7458,960,780,2352,644,343,***,***,***,***,***,3366,2379,May,1981
1981000606,1981年6月,38392,31033,5808,977,1077,3438,2621,1770,1226,4908,5388,***,***,***,***,546,906,2367,7359,939,777,2316,666,357,***,***,***,***,***,3327,2304,Jun,1981
1981000707,1981年7月,39783,31608,5523,1024,1041,3565,2868,1804,1235,5085,5610,***,***,***,***,553,930,2370,8176,1196,839,2424,783,451,***,***,***,***,***,3717,2483,Jul,1981
1981000808,1981年8月,37225,29888,5414,973,1156,3403,2655,1692,1236,4833,4953,***,***,***,***,496,836,2241,7337,929,706,2400,584,342,***,***,***,***,***,3303,2377,Aug,1981
1981000909,1981年9月,45125,37793,10383,1073,1501,3907,2703,1829,1347,5097,5931,***,***,***,***,591,916,2514,7331,889,765,2276,701,323,***,***,***,***,***,3402,2378,Sep,1981
1981001010,1981年10月,39593,31867,4158,1092,1573,4078,2660,1894,1374,5068,5706,***,***,***,***,634,979,2652,7726,1005,864,2327,707,333,***,***,***,***,***,3530,2490,Oct,1981
1981001111,1981年11月,41503,33669,5720,1041,1441,4245,2800,1903,1359,5301,5608,***,***,***,***,649,967,2636,7834,1065,894,2325,702,368,***,***,***,***,***,3550,2480,Nov,1981
1981001212,1981年12月,46737,36520,6337,1075,1463,4707,3586,2000,1361,5764,5668,***,***,***,***,687,1084,2788,10216,1744,1202,3072,758,455,***,***,***,***,***,4198,2985,Dec,1981
1982000101,1982年1月,36077,28972,5475,991,978,3485,2126,1665,1194,4890,4655,***,***,***,***,502,727,2283,7105,958,844,2151,505,315,***,***,***,***,***,3152,2332,Jan,1982
1982000202,1982年2月,37683,30821,5701,1052,1053,3586,2293,1681,1243,5064,5265,***,***,***,***,549,890,2443,6862,839,691,2140,611,272,***,***,***,***,***,3192,2309,Feb,1982
1982000303,1982年3月,50205,41920,11873,1160,1354,4228,2783,1845,1409,5693,6941,***,***,***,***,694,972,2969,8285,1062,883,2421,889,314,***,***,***,***,***,3920,2716,Mar,1982
1982000404,1982年4月,40115,32168,3967,1078,1362,4227,2808,1780,1358,4822,6118,***,***,***,***,702,1065,2879,7946,1022,856,2417,784,329,***,***,***,***,***,3652,2539,Apr,1982
1982000505,1982年5月,40064,32277,5501,1048,1225,4004,2732,1727,1298,4677,5615,***,***,***,***,642,1053,2756,7787,1008,861,2446,664,325,***,***,***,***,***,3473,2483,May,1982
1982000606,1982年6月,41110,33369,6024,1069,1094,4150,2851,1753,1362,4836,5830,***,***,***,***,637,1028,2736,7741,994,828,2444,727,341,***,***,***,***,***,3475,2407,Jun,1982
1982000707,1982年7月,41564,33415,5612,1058,994,4253,2980,1830,1360,5049,5908,***,***,***,***,640,999,2733,8149,1212,896,2486,786,345,***,***,***,***,***,3555,2424,Jul,1982
1982000808,1982年8月,39529,32012,5659,1035,1194,4298,2839,1752,1252,4735,5207,***,***,***,***,595,956,2490,7517,966,705,2566,586,311,***,***,***,***,***,3279,2383,Aug,1982
1982000909,1982年9月,47841,40318,10991,1175,1530,4579,2881,1954,1355,5166,6197,***,***,***,***,685,976,2828,7523,918,817,2410,695,313,***,***,***,***,***,3378,2370,Sep,1982
1982001010,1982年10月,41166,33202,4197,1050,1563,5030,2718,1961,1365,4955,5776,***,***,***,***,732,993,2863,7963,1065,947,2457,700,294,***,***,***,***,***,3494,2499,Oct,1982
1982001111,1982年11月,43470,35326,5671,1031,1426,5043,2900,1956,1368,5274,6011,***,***,***,***,759,988,2897,8144,1068,948,2430,771,332,***,***,***,***,***,3699,2596,Nov,1982
1982001212,1982年12月,48704,38307,6313,1061,1458,5635,3884,1979,1358,5548,6179,***,***,***,***,750,1134,3007,10397,1779,1232,3050,808,433,***,***,***,***,***,4335,3095,Dec,1982
1983000101,1983年1月,36856,29454,5093,964,979,3996,2184,1504,1234,4949,4740,***,***,***,***,510,809,2491,7401,986,885,2244,612,323,***,***,***,***,***,3287,2352,Jan,1983
1983000202,1983年2月,38238,31141,5427,995,1208,4024,2410,1576,1224,4859,5315,***,***,***,***,581,938,2583,7096,861,764,2172,704,288,***,***,***,***,***,3299,2308,Feb,1983
1983000303,1983年3月,50142,41671,11503,1140,1332,4740,2866,1723,1385,5313,6792,***,***,***,***,766,990,3120,8471,1084,931,2465,992,310,***,***,***,***,***,3991,2689,Mar,1983
1983000404,1983年4月,39866,31536,3679,1007,1340,4437,2992,1602,1353,4486,5985,***,***,***,***,736,1025,2896,8330,1051,923,2566,794,336,***,***,***,***,***,3789,2659,Apr,1983
1983000505,1983年5月,40492,32502,5252,1013,1213,4459,2955,1623,1319,4316,5926,***,***,***,***,673,1003,2750,7991,1031,871,2555,717,306,***,***,***,***,***,3534,2511,May,1983
1983000606,1983年6月,40758,32928,5732,1059,1095,4289,3007,1671,1364,4395,5935,***,***,***,***,663,1030,2686,7831,992,834,2462,755,334,***,***,***,***,***,3542,2452,Jun,1983
1983000707,1983年7月,40661,32097,5242,1059,1007,4193,2998,1779,1304,4430,5953,***,***,***,***,627,980,2524,8564,1261,871,2603,938,371,***,***,***,***,***,3829,2521,Jul,1983
1983000808,1983年8月,40196,32251,5623,1046,1192,4376,3060,1628,1257,4632,5523,***,***,***,***,559,966,2389,7945,991,740,2695,653,406,***,***,***,***,***,3519,2460,Aug,1983
1983000909,1983年9月,47796,40061,11228,1147,1395,4460,3161,1715,1386,4835,6410,***,***,***,***,713,1001,2611,7735,929,783,2473,784,330,***,***,***,***,***,3552,2438,Sep,1983
1983001010,1983年10月,40955,32673,4266,1088,1428,4876,2930,1782,1314,4554,6096,***,***,***,***,707,980,2651,8282,1107,975,2544,782,325,***,***,***,***,***,3656,2549,Oct,1983
1983001111,1983年11月,42693,34336,5467,1071,1362,5046,2903,1765,1353,4749,6303,***,***,***,***,702,973,2641,8357,1102,946,2458,878,377,***,***,***,***,***,3850,2595,Nov,1983
1983001212,1983年12月,48409,37841,6540,1117,1449,5472,3718,1807,1420,5328,6317,***,***,***,***,727,1124,2822,10569,1826,1236,3135,845,478,***,***,***,***,***,4372,3049,Dec,1983
1984000101,1984年1月,36736,29320,5395,986,956,3795,2225,1406,1206,4696,5201,***,***,***,***,502,780,2172,7416,1028,838,2272,605,359,***,***,***,***,***,3277,2313,Jan,1984
1984000202,1984年2月,39340,31967,5852,1085,1144,4079,2497,1513,1340,4908,5854,***,***,***,***,550,746,2399,7373,921,704,2357,775,312,***,***,***,***,***,3391,2303,Feb,1984
1984000303,1984年3月,51697,42811,12018,1234,1341,4670,2961,1734,1491,5340,7436,***,***,***,***,726,1043,2815,8886,1130,862,2594,1165,347,***,***,***,***,***,4300,2789,Mar,1984
1984000404,1984年4月,40951,32384,4144,1101,1334,4253,3187,1592,1428,4583,6482,***,***,***,***,647,1084,2550,8567,1098,854,2655,862,361,***,***,***,***,***,3960,2737,Apr,1984
1984000505,1984年5月,41497,33240,5731,1146,1250,4294,2879,1648,1436,4556,6204,***,***,***,***,609,1112,2374,8257,1048,812,2581,800,343,***,***,***,***,***,3816,2673,May,1984
1984000606,1984年6月,41738,33767,6101,1151,1182,4253,3060,1700,1476,4434,6322,***,***,***,***,607,1126,2355,7971,1033,790,2490,756,379,***,***,***,***,***,3658,2523,Jun,1984
1984000707,1984年7月,43603,34780,6204,1178,1016,4452,3245,1783,1488,4727,6552,***,***,***,***,617,1121,2396,8823,1335,883,2675,892,446,***,***,***,***,***,3930,2592,Jul,1984
1984000808,1984年8月,41158,33212,6426,1168,1162,4334,2692,1692,1436,4713,5525,***,***,***,***,541,1056,2468,7945,1014,692,2790,593,376,***,***,***,***,***,3450,2481,Aug,1984
1984000909,1984年9月,49391,41443,11626,1278,1619,4767,2833,1738,1499,4998,6943,***,***,***,***,599,1057,2487,7948,984,800,2616,802,352,***,***,***,***,***,3547,2394,Sep,1984
1984001010,1984年10月,42402,34095,4560,1259,1716,4979,2746,1872,1545,4833,6233,***,***,***,***,644,1098,2609,8306,1115,946,2633,777,363,***,***,***,***,***,3612,2472,Oct,1984
1984001111,1984年11月,44045,35609,5923,1228,1536,4677,2980,1888,1534,5121,6383,***,***,***,***,657,1100,2583,8436,1121,964,2587,779,413,***,***,***,***,***,3764,2572,Nov,1984
1984001212,1984年12月,49865,38879,6887,1208,1590,5329,3763,1811,1522,5391,6643,***,***,***,***,707,1207,2821,10986,1899,1271,3327,830,523,***,***,***,***,***,4490,3136,Dec,1984
1985000101,1985年1月,38742,30914,5902,1112,1022,3757,2136,1540,1335,5110,5462,***,***,***,***,493,834,2212,7827,1087,924,2413,605,368,***,***,***,***,***,3404,2431,Jan,1985
1985000202,1985年2月,40435,32999,6428,1151,1191,3837,2428,1554,1408,5109,6094,***,***,***,***,543,860,2397,7436,916,757,2369,764,303,***,***,***,***,***,3394,2327,Feb,1985
1985000303,1985年3月,54268,45147,13780,1322,1502,4388,2902,1668,1534,5777,7497,***,***,***,***,669,1029,3080,9121,1181,956,2674,1198,359,***,***,***,***,***,4310,2752,Mar,1985
1985000404,1985年4月,42057,33396,4510,1246,1561,4115,2914,1617,1528,4881,6728,***,***,***,***,647,1056,2594,8661,1123,925,2663,852,384,***,***,***,***,***,3951,2714,Apr,1985
1985000505,1985年5月,42457,34038,6223,1231,1400,4071,3076,1625,1488,4761,6154,***,***,***,***,606,1041,2361,8419,1087,878,2712,746,389,***,***,***,***,***,3742,2608,May,1985
1985000606,1985年6月,42739,34474,6695,1228,1161,4020,3146,1562,1518,4868,6344,***,***,***,***,585,1033,2315,8265,1068,835,2632,769,427,***,***,***,***,***,3730,2533,Jun,1985
1985000707,1985年7月,44848,35548,6210,1245,1156,4411,3423,1680,1568,5242,6512,***,***,***,***,602,1041,2457,9299,1381,946,2853,921,494,***,***,***,***,***,4119,2704,Jul,1985
1985000808,1985年8月,42560,34223,6273,1193,1325,4417,3209,1512,1426,5120,5937,***,***,***,***,549,993,2269,8337,1051,735,2942,632,397,***,***,***,***,***,3610,2580,Aug,1985
1985000909,1985年9月,51795,43615,13279,1325,1562,4703,3125,1601,1523,5062,7217,***,***,***,***,621,1033,2563,8180,1011,790,2717,820,348,***,***,***,***,***,3663,2495,Sep,1985
1985001010,1985年10月,44151,35434,4649,1297,1795,5464,2959,1722,1559,5212,6353,***,***,***,***,663,1090,2668,8717,1173,965,2759,852,354,***,***,***,***,***,3820,2614,Oct,1985
1985001111,1985年11月,45176,36444,5689,1227,1557,5395,3168,1781,1552,5193,6458,***,***,***,***,680,1095,2648,8731,1167,975,2703,843,399,***,***,***,***,***,3886,2644,Nov,1985
1985001212,1985年12月,50793,39238,6798,1179,1647,5484,4073,1741,1500,5479,6531,***,***,***,***,702,1248,2856,11555,1961,1278,3618,847,538,***,***,***,***,***,4697,3312,Dec,1985
1986000101,1986年1月,39055,31002,5728,1099,1119,3806,2416,1463,1362,5201,5300,***,***,***,***,501,889,2117,8053,1150,930,2428,615,383,***,***,***,***,***,3545,2547,Jan,1986
1986000202,1986年2月,39597,31882,5509,1167,1256,3709,2596,1579,1420,5236,5689,***,***,***,***,584,904,2233,7715,968,781,2383,819,334,***,***,***,***,***,3583,2430,Feb,1986
1986000303,1986年3月,53370,43984,13391,1328,1487,4348,3051,1760,1575,5147,7287,***,***,***,***,723,1021,2866,9387,1235,988,2683,1218,366,***,***,***,***,***,4480,2896,Mar,1986
1986000404,1986年4月,41604,32462,3748,1180,1574,4107,3012,1729,1569,4307,6573,***,***,***,***,703,1167,2793,9141,1190,942,2758,903,406,***,***,***,***,***,4251,2943,Apr,1986
1986000505,1986年5月,40589,32025,4561,1147,1374,4187,3103,1742,1499,4008,6097,***,***,***,***,623,1149,2536,8565,1142,880,2755,800,369,***,***,***,***,***,3788,2618,May,1986
1986000606,1986年6月,41007,32525,4980,1127,1211,4211,3215,1768,1476,3785,6565,***,***,***,***,590,1133,2463,8483,1123,848,2689,942,418,***,***,***,***,***,3823,2464,Jun,1986
1986000707,1986年7月,42122,32836,4710,1158,1153,4162,3511,1802,1478,3899,6637,***,***,***,***,595,1190,2541,9286,1435,933,2835,1020,500,***,***,***,***,***,4083,2563,Jul,1986
1986000808,1986年8月,39767,31179,4655,1088,1269,4460,3292,1736,1357,3669,5676,***,***,***,***,560,1129,2286,8587,1116,768,2949,728,428,***,***,***,***,***,3754,2598,Aug,1986
1986000909,1986年9月,49785,41483,11916,1257,1637,4609,3189,1946,1447,4097,6974,***,***,***,***,655,1175,2581,8302,1050,867,2701,923,351,***,***,***,***,***,3685,2411,Sep,1986
1986001010,1986年10月,42649,33799,3440,1186,1835,5555,3069,2035,1490,3699,6729,***,***,***,***,716,1228,2816,8850,1236,1033,2743,937,371,***,***,***,***,***,3838,2530,Oct,1986
1986001111,1986年11月,43265,34496,4385,1113,1615,5658,3204,2051,1468,3721,6576,***,***,***,***,727,1219,2758,8769,1250,1033,2693,879,413,***,***,***,***,***,3792,2500,Nov,1986
1986001212,1986年12月,48807,37315,5182,1137,1690,5893,4125,2020,1466,3887,6720,***,***,***,***,755,1420,3019,11491,1993,1279,3504,996,533,***,***,***,***,***,4715,3186,Dec,1986
1987000101,1987年1月,36931,28564,4501,1050,1105,3655,2466,1651,1322,3443,5486,***,***,***,***,533,1003,2348,8368,1185,1006,2537,743,426,***,***,***,***,***,3640,2470,Jan,1987
1987000202,1987年2月,38318,30406,4670,1088,1294,3734,2642,1843,1377,3513,6128,***,***,***,***,600,1062,2455,7912,1007,823,2526,916,342,***,***,***,***,***,3556,2298,Feb,1987
1987000303,1987年3月,53705,44106,12997,1280,1590,4453,3097,1928,1557,3929,8189,***,***,***,***,775,1176,3135,9599,1285,1019,2863,1303,380,***,***,***,***,***,4432,2748,Mar,1987
1987000404,1987年4月,42055,32612,3622,1099,1616,4284,3178,1900,1515,3452,6856,***,***,***,***,774,1266,3050,9443,1235,997,2897,998,439,***,***,***,***,***,4314,2876,Apr,1987
1987000505,1987年5月,41089,31954,4316,1111,1442,4169,3170,1868,1482,3327,6364,***,***,***,***,680,1280,2743,9135,1224,976,2958,898,403,***,***,***,***,***,3978,2676,May,1987
1987000606,1987年6月,42613,33653,4820,1147,1372,4322,3348,2017,1562,3494,6907,***,***,***,***,659,1250,2754,8960,1178,902,2858,995,441,***,***,***,***,***,4022,2586,Jun,1987
1987000707,1987年7月,44455,34658,4825,1162,1251,4412,3668,2162,1582,3522,7235,***,***,***,***,678,1277,2884,9797,1494,981,2971,1148,527,***,***,***,***,***,4351,2676,Jul,1987
1987000808,1987年8月,41962,33001,4804,1072,1442,4552,3278,2094,1463,3467,6311,***,***,***,***,619,1227,2673,8961,1155,837,3097,774,435,***,***,***,***,***,3872,2664,Aug,1987
1987000909,1987年9月,53470,44514,12739,1255,1876,4896,3267,2286,1604,4050,7642,***,***,***,***,724,1275,2900,8956,1118,929,2877,1050,396,***,***,***,***,***,4032,2586,Sep,1987
1987001010,1987年10月,45697,36356,3758,1213,1956,5670,3259,2357,1659,3679,7574,***,***,***,***,789,1335,3107,9341,1278,1067,2927,1006,406,***,***,***,***,***,4069,2657,Oct,1987
1987001111,1987年11月,45761,36320,4517,1140,1747,5090,3400,2416,1626,3766,7473,***,***,***,***,762,1314,3068,9441,1322,1076,2844,1103,458,***,***,***,***,***,4199,2638,Nov,1987
1987001212,1987年12月,51841,39500,5192,1177,1804,5517,4388,2388,1645,4064,7610,***,***,***,***,824,1545,3346,12340,2103,1381,3847,1148,637,***,***,***,***,***,5009,3224,Dec,1987
1988000101,1988年1月,39470,30762,4433,1070,1209,3804,2604,2003,1484,3471,6321,***,***,***,***,586,1076,2701,8709,1262,1040,2653,821,465,***,***,***,***,***,3754,2467,Jan,1988
1988000202,1988年2月,42564,33913,4936,1136,1473,4006,2839,2295,1630,3645,7267,***,***,***,***,663,1160,2863,8652,1088,885,2689,1105,397,***,***,***,***,***,3990,2488,Feb,1988
1988000303,1988年3月,59284,49005,14207,1328,1820,4711,3242,2465,1799,4366,9570,***,***,***,***,848,1243,3406,10279,1338,1056,2942,1635,439,***,***,***,***,***,4943,2869,Mar,1988
1988000404,1988年4月,45911,36031,3648,1141,1832,4602,3347,2325,1778,3570,8093,***,***,***,***,821,1493,3382,9881,1321,1089,2961,1180,467,***,***,***,***,***,4510,2863,Apr,1988
1988000505,1988年5月,44377,34853,4548,1125,1567,4346,3264,2185,1679,3353,7581,***,***,***,***,748,1371,3087,9524,1314,1025,3013,1059,423,***,***,***,***,***,4171,2689,May,1988
1988000606,1988年6月,46440,36916,5267,1196,1427,4597,3421,2302,1780,3604,8074,***,***,***,***,740,1377,3132,9524,1285,997,2928,1195,486,***,***,***,***,***,4314,2632,Jun,1988
1988000707,1988年7月,47275,36855,4950,1180,1349,4641,3612,2357,1773,3696,8126,***,***,***,***,743,1361,3066,10421,1654,1102,3079,1294,567,***,***,***,***,***,4587,2725,Jul,1988
1988000808,1988年8月,45556,36250,5427,1146,1515,4933,3523,2324,1680,3689,7019,***,***,***,***,707,1319,2966,9307,1240,899,3157,925,470,***,***,***,***,***,4011,2617,Aug,1988
1988000909,1988年9月,57142,47875,13732,1374,1842,5142,3388,2535,1831,4022,8675,***,***,***,***,804,1332,3198,9267,1203,989,2908,1140,434,***,***,***,***,***,4167,2593,Sep,1988
1988001010,1988年10月,48334,38475,4037,1225,1993,5459,3349,2644,1843,3900,8466,***,***,***,***,838,1409,3312,9859,1424,1171,2985,1161,406,***,***,***,***,***,4279,2713,Oct,1988
1988001111,1988年11月,49667,39683,4694,1206,1832,5418,3483,2732,1828,4007,8744,***,***,***,***,893,1452,3392,9984,1428,1164,2930,1220,487,***,***,***,***,***,4462,2756,Nov,1988
1988001212,1988年12月,55825,42877,5588,1166,1873,6144,4539,2722,1839,4155,8805,***,***,***,***,885,1674,3488,12948,2245,1427,3991,1200,678,***,***,***,***,***,5286,3408,Dec,1988
1989000101,1989年1月,42212,33067,4847,1045,1279,4119,2751,2205,1627,3733,6869,***,***,***,***,647,1251,2694,9145,1378,1089,2757,813,532,***,***,***,***,***,3922,2577,Jan,1989
1989000202,1989年2月,44976,36084,5338,1123,1509,4064,2961,2369,1768,3848,7969,***,***,***,***,744,1381,3011,8891,1180,921,2793,1052,427,***,***,***,***,***,3998,2520,Feb,1989
1989000303,1989年3月,68950,57325,16220,1468,1912,5354,3649,3148,2226,4973,11400,***,***,***,***,1168,1642,4167,11625,1719,1282,3253,1569,475,***,***,***,***,***,5371,3326,Mar,1989
1989000404,1989年4月,47560,37261,3836,1087,1733,4666,3419,2513,1754,3914,8631,***,***,***,***,877,1392,3439,10298,1355,1114,3018,1275,496,***,***,***,***,***,4811,3039,Apr,1989
1989000505,1989年5月,47290,37144,5134,1106,1534,4736,3452,2298,1742,3919,7867,***,***,***,***,791,1338,3228,10146,1400,1067,3134,1170,440,***,***,***,***,***,4546,2937,May,1989
1989000606,1989年6月,50526,40450,6243,1204,1484,4771,3622,2509,1852,4068,9136,***,***,***,***,797,1481,3281,10077,1378,1037,3068,1253,501,***,***,***,***,***,4594,2840,Jun,1989
1989000707,1989年7月,50778,39548,5365,1225,1418,4757,3950,2538,1823,4145,8817,***,***,***,***,799,1440,3272,11230,1796,1172,3220,1403,600,***,***,***,***,***,5043,3040,Jul,1989
1989000808,1989年8月,48939,38911,5801,1173,1681,4888,3762,2426,1758,4247,7972,***,***,***,***,759,1424,3021,10027,1351,912,3276,1046,498,***,***,***,***,***,4488,2944,Aug,1989
1989000909,1989年9月,62160,52152,15311,1409,1998,5209,3750,2615,1871,4452,9715,***,***,***,***,883,1481,3457,10008,1319,997,3070,1311,458,***,***,***,***,***,4621,2852,Sep,1989
1989001010,1989年10月,51746,40938,4521,1228,2020,5469,3595,2711,1882,4375,9126,***,***,***,***,909,1498,3601,10808,1568,1229,3130,1412,466,***,***,***,***,***,4881,3003,Oct,1989
1989001111,1989年11月,53553,42718,5493,1218,1850,5339,3784,2863,1913,4589,9460,***,***,***,***,956,1571,3683,10835,1524,1195,3068,1432,525,***,***,***,***,***,5048,3091,Nov,1989
1989001212,1989年12月,61093,46874,6700,1232,1946,6100,4991,2852,1905,4861,9664,***,***,***,***,1015,1793,3817,14219,2461,1539,4113,1508,760,***,***,***,***,***,6105,3838,Dec,1989
1990000101,1990年1月,45601,35469,4648,1062,1334,4250,2824,2303,1671,4510,7928,***,***,***,***,707,1179,3053,10132,1517,1149,2887,1107,514,***,***,***,***,***,4578,2957,Jan,1990
1990000202,1990年2月,48140,38342,5026,1145,1544,4390,3251,2512,1773,4606,8752,***,***,***,***,816,1309,3220,9798,1283,970,2860,1390,473,***,***,***,***,***,4686,2822,Feb,1990
1990000303,1990年3月,70046,57962,16816,1445,1931,5387,3834,2947,2073,5308,11824,***,***,***,***,1008,1437,3950,12084,1665,1245,3159,2078,514,***,***,***,***,***,6014,3422,Mar,1990
1990000404,1990年4月,53309,41791,3968,1152,1872,4921,3834,2775,1958,4686,9897,***,***,***,***,978,1807,3942,11518,1560,1236,3148,1688,514,***,***,***,***,***,5575,3373,Apr,1990
1990000505,1990年5月,53028,41986,5511,1179,1677,5164,3897,2651,1875,4601,9411,***,***,***,***,884,1536,3599,11042,1544,1164,3233,1378,486,***,***,***,***,***,5102,3239,May,1990
1990000606,1990年6月,55549,44402,6151,1239,1619,4960,4158,2796,1992,4770,10603,***,***,***,***,888,1622,3605,11147,1530,1161,3184,1576,584,***,***,***,***,***,5273,3113,Jun,1990
1990000707,1990年7月,56315,44115,5341,1275,1579,4942,4424,2882,2005,4726,10934,***,***,***,***,897,1627,3482,12200,1937,1250,3302,1709,695,***,***,***,***,***,5711,3307,Jul,1990
1990000808,1990年8月,52885,42032,5572,1217,1676,4978,4057,2692,1887,4735,9466,***,***,***,***,825,1581,3344,10854,1432,991,3371,1305,594,***,***,***,***,***,5060,3161,Aug,1990
1990000909,1990年9月,67525,56706,16439,1520,2070,5080,3775,2852,2053,5090,11380,***,***,***,***,946,1581,3919,10819,1423,1090,3214,1474,489,***,***,***,***,***,5092,3130,Sep,1990
1990001010,1990年10月,57127,45498,4738,1336,2161,5680,3856,2946,2152,5276,10758,***,***,***,***,1013,1652,3929,11628,1627,1306,3374,1504,516,***,***,***,***,***,5321,3301,Oct,1990
1990001111,1990年11月,57800,46191,5711,1255,1964,5193,3962,3072,2125,5418,10894,***,***,***,***,991,1691,3914,11609,1608,1261,3256,1555,590,***,***,***,***,***,5484,3339,Nov,1990
